App,Category,Rating,Price,Reviews,Size,Installs,Type,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Fashion in Vogue,LIFESTYLE,3.8,0,1797,6.8M,"100,000+",Free,Everyone,Lifestyle,27-Sep-16,2,4.3 and up
Zara,LIFESTYLE,4.3,0,95904,33M,"10,000,000+",Free,Everyone,Lifestyle,30-Jul-18,4.1.0,4.1 and up
Wheretoget: Shop in style,LIFESTYLE,4.1,0,6808,12M,"500,000+",Free,Teen,Lifestyle,5-Jun-17,3.2.0,4.1 and up
Chictopia,LIFESTYLE,4.1,0,360,4.6M,"10,000+",Free,Everyone,Lifestyle,30-Apr-14,1.6.2,2.2 and up
Scarf Fashion Designer,LIFESTYLE,4.4,0,16637,10M,"1,000,000+",Free,Everyone,Lifestyle,18-Jun-17,1.8,2.3 and up
Fashion in Vogue,LIFESTYLE,3.8,0,1797,6.8M,"100,000+",Free,Everyone,Lifestyle,27-Sep-16,2,4.3 and up
Zara,LIFESTYLE,4.3,0,95905,33M,"10,000,000+",Free,Everyone,Lifestyle,30-Jul-18,4.1.0,4.1 and up
Real Estate by Movoto,LIFESTYLE,4.4,0,3114,13M,"100,000+",Free,Everyone,Lifestyle,20-Feb-18,6.1,4.0.3 and up
Etta Homes,LIFESTYLE,4.2,0,220,15M,"50,000+",Free,Everyone,Lifestyle,26-Jul-18,9.1.0,5.0 and up
Houlihan Lawrence,LIFESTYLE,4.4,0,33,23M,"5,000+",Free,Everyone,Lifestyle,12-Oct-17,3.9.5,4.2 and up
Home Scouting® MLS Mobile,LIFESTYLE,4.3,0,1533,7.7M,"100,000+",Free,Everyone,Lifestyle,27-Sep-16,2.2.6,2.2 and up
ZipRealty Real Estate & Homes,LIFESTYLE,4,0,3937,15M,"100,000+",Free,Everyone,Lifestyle,27-Jul-18,8.3.3,4.4 and up
Sotheby's International Realty,LIFESTYLE,4.2,0,894,25M,"50,000+",Free,Everyone,Lifestyle,9-Apr-18,5.600.42,4.0.3 and up
Neighborhoods & Apartments,LIFESTYLE,3.9,0,2042,3.0M,"100,000+",Free,Everyone,Lifestyle,28-Aug-15,3.1.6,4.0 and up
Keller Williams Real Estate,LIFESTYLE,4.4,0,13213,22M,"1,000,000+",Free,Everyone,Lifestyle,28-Mar-18,5.800.04,4.0.3 and up
Bed Time Fan - White Noise Sleep Sounds,LIFESTYLE,4.5,0,10097,7.5M,"500,000+",Free,Everyone,Lifestyle,26-Apr-18,1.2,4.0 and up
Nature Sounds,LIFESTYLE,4.8,0,28588,24M,"1,000,000+",Free,Everyone,Lifestyle,1-Mar-18,3.1.8,4.0.3 and up
White Noise Baby,LIFESTYLE,4.5,0,10544,44M,"1,000,000+",Free,Everyone,Lifestyle,18-Jun-18,5.3,4.1 and up
7 Day Food Journal Challenge,LIFESTYLE,4.5,0,3346,14M,"100,000+",Free,Teen,Lifestyle,8-Mar-17,3.6.3,4.0.3 and up
ROBLOX,GAME,4.5,0,4447388,67M,"100,000,000+",Free,Everyone 10+,Adventure;Action & Adventure,31-Jul-18,2.347.225742,4.1 and up
Subway Surfers,GAME,4.5,0,27722264,76M,"1,000,000,000+",Free,Everyone 10+,Arcade,12-Jul-18,1.90.0,4.1 and up
Candy Crush Saga,GAME,4.4,0,22426677,74M,"500,000,000+",Free,Everyone,Casual,5-Jul-18,1.129.0.2,4.1 and up
Solitaire,GAME,4.7,0,254258,23M,"10,000,000+",Free,Everyone,Card,1-Aug-18,2.137.0,4.1 and up
Bubble Shooter,GAME,4.5,0,148897,46M,"10,000,000+",Free,Everyone,Casual,17-Jul-18,1.20.1,4.0.3 and up
Hello Kitty Nail Salon,GAME,4.2,0,369203,24M,"50,000,000+",Free,Everyone,Casual;Pretend Play,17-Apr-18,1.5,4.1 and up
Clash Royale,GAME,4.6,0,23133508,97M,"100,000,000+",Free,Everyone 10+,Strategy,27-Jun-18,2.3.2,4.1 and up
Temple Run 2,GAME,4.3,0,8118609,62M,"500,000,000+",Free,Everyone,Action,5-Jul-18,1.49.1,4.0 and up
Pou,GAME,4.3,0,10485308,24M,"500,000,000+",Free,Everyone,Casual,25-May-18,1.4.77,4.0 and up
Helix Jump,GAME,4.2,0,1497361,33M,"100,000,000+",Free,Everyone,Action,9-Apr-18,1.0.6,4.1 and up
Block Puzzle,GAME,4.6,0,59800,7.8M,"5,000,000+",Free,Everyone,Puzzle,6-Mar-18,2.9,2.3 and up
Angry Birds Rio,GAME,4.4,0,2610526,46M,"100,000,000+",Free,Everyone,Arcade,3-Jul-18,2.6.9,4.1 and up
Plants vs. Zombies FREE,GAME,4.4,0,4066989,69M,"100,000,000+",Free,Everyone 10+,Strategy,6-Jul-18,2.2.00,4.1 and up
Sonic Dash,GAME,4.5,0,3778921,75M,"100,000,000+",Free,Everyone,Arcade,26-Jul-18,3.8.5.Go,4.1 and up
Candy Crush Soda Saga,GAME,4.4,0,6198563,67M,"100,000,000+",Free,Everyone,Casual,10-Jul-18,1.118.4,4.1 and up
Zombie Hunter King,GAME,4.3,0,10306,50M,"1,000,000+",Free,Mature 17+,Action,1-Aug-18,1.0.8,2.3 and up
Clash of Clans,GAME,4.6,0,44891723,98M,"100,000,000+",Free,Everyone 10+,Strategy,15-Jul-18,10.322.16,4.1 and up
Block Puzzle Classic Legend !,GAME,4.2,0,17039,4.9M,"5,000,000+",Free,Everyone,Puzzle,13-Apr-18,2.9,2.3.3 and up
PAC-MAN,GAME,4.2,0,685981,37M,"100,000,000+",Free,Everyone,Arcade,15-May-18,6.6.3,4.1 and up
Super Jim Jump - pixel 3d,GAME,4.5,0,10393,18M,"1,000,000+",Free,Everyone,Arcade,11-Jul-18,2.2.3181,4.0 and up
8 Ball Pool,GAME,4.5,0,14198297,52M,"100,000,000+",Free,Everyone,Sports,31-Jul-18,4.0.0,4.0.3 and up
Bubble Witch 3 Saga,GAME,4.7,0,1732263,78M,"50,000,000+",Free,Everyone,Puzzle,17-Jul-18,4.8.4,3.0 and up
Word Search,GAME,4.7,0,295241,3.9M,"10,000,000+",Free,Everyone,Word,6-Jun-18,1.1.3,3.0 and up
Granny,GAME,4.5,0,1135631,59M,"50,000,000+",Free,Teen,Arcade,29-May-18,1.4.0.1,4.0 and up
Angry Birds Classic,GAME,4.4,0,5566669,97M,"100,000,000+",Free,Everyone,Arcade,24-May-18,7.9.3,4.1 and up
Flow Free,GAME,4.3,0,1295557,11M,"100,000,000+",Free,Everyone,Puzzle,11-Apr-18,4,4.1 and up
Race the Traffic Moto,GAME,3.8,0,270687,38M,"10,000,000+",Free,Teen,Racing,20-Jul-18,1.0.16,4.0.3 and up
Barbie??Fashion Closet,GAME,4.1,0,68057,85M,"10,000,000+",Free,Everyone,Casual;Creativity,30-Jul-18,1.3.7,4.1 and up
Candy Crush Jelly Saga,GAME,4.3,0,1300490,78M,"50,000,000+",Free,Everyone,Puzzle,20-Jul-18,2.1.10,4.0 and up
Hill Climb Racing,GAME,4.4,0,8923587,63M,"100,000,000+",Free,Everyone,Racing,2-Jul-18,1.37.2,4.2 and up
Marble - Temple Quest,GAME,4.3,0,42053,24M,"10,000,000+",Free,Everyone,Puzzle,21-Jun-18,4.9,4.0.3 and up
Shooting King,GAME,4.4,0,257724,69M,"10,000,000+",Free,Everyone 10+,Sports,25-May-18,1.4.2,4.0.3 and up
Zombie Catchers,GAME,4.7,0,990491,75M,"10,000,000+",Free,Everyone,Action,24-May-18,1.0.27,4.1 and up
Farm Heroes Saga,GAME,4.4,0,7614130,70M,"100,000,000+",Free,Everyone,Casual,26-Jul-18,5.1.8,2.3 and up
Geometry Dash World,GAME,4.6,0,760628,63M,"10,000,000+",Free,Everyone,Arcade,22-Dec-17,1.03,4.0 and up
My Talking Angela,GAME,4.5,0,9881829,99M,"100,000,000+",Free,Everyone,Casual,3-Jul-18,3.7.2.51,4.1 and up
Cut the Rope FULL FREE,GAME,4.4,0,2123381,49M,"100,000,000+",Free,Everyone,Puzzle,5-Jul-18,3.7.2,4.1 and up
Subway Surfers,GAME,4.5,0,27723193,76M,"1,000,000,000+",Free,Everyone 10+,Arcade,12-Jul-18,1.90.0,4.1 and up
ROBLOX,GAME,4.5,0,4447346,67M,"100,000,000+",Free,Everyone 10+,Adventure;Action & Adventure,31-Jul-18,2.347.225742,4.1 and up
Pou,GAME,4.3,0,10485334,24M,"500,000,000+",Free,Everyone,Casual,25-May-18,1.4.77,4.0 and up
8 Ball Pool,GAME,4.5,0,14198602,52M,"100,000,000+",Free,Everyone,Sports,31-Jul-18,4.0.0,4.0.3 and up
Clash of Clans,GAME,4.6,0,44891723,98M,"100,000,000+",Free,Everyone 10+,Strategy,15-Jul-18,10.322.16,4.1 and up
Candy Crush Saga,GAME,4.4,0,22428456,74M,"500,000,000+",Free,Everyone,Casual,5-Jul-18,1.129.0.2,4.1 and up
Plants vs. Zombies FREE,GAME,4.4,0,4066980,69M,"100,000,000+",Free,Everyone 10+,Strategy,6-Jul-18,2.2.00,4.1 and up
Cooking Fever,GAME,4.5,0,3197865,82M,"100,000,000+",Free,Everyone,Arcade,12-Jul-18,2.8.0,4.0.3 and up
Score! Hero,GAME,4.6,0,5418675,96M,"100,000,000+",Free,Everyone,Sports,13-Jun-18,1.751,4.4 and up
My Talking Angela,GAME,4.5,0,9881908,99M,"100,000,000+",Free,Everyone,Casual,3-Jul-18,3.7.2.51,4.1 and up
Bubble Shooter,GAME,4.5,0,148895,46M,"10,000,000+",Free,Everyone,Casual,17-Jul-18,1.20.1,4.0.3 and up
Miraculous Ladybug & Cat Noir - The Official Game,GAME,4.5,0,183846,99M,"10,000,000+",Free,Everyone,Action,30-Jul-18,1.0.6,4.4 and up
Wordscapes,GAME,4.8,0,230710,87M,"10,000,000+",Free,Everyone,Word,2-Aug-18,1.0.47,4.1 and up
Word Search,GAME,4.7,0,295305,3.9M,"10,000,000+",Free,Everyone,Word,6-Jun-18,1.1.3,3.0 and up
Candy Crush Soda Saga,GAME,4.4,0,6198880,67M,"100,000,000+",Free,Everyone,Casual,10-Jul-18,1.118.4,4.1 and up
Garena Free Fire,GAME,4.5,0,5465624,53M,"100,000,000+",Free,Teen,Action,3-Aug-18,1.21.0,4.0.3 and up
Block Puzzle,GAME,4.6,0,59854,7.8M,"5,000,000+",Free,Everyone,Puzzle,6-Mar-18,2.9,2.3 and up
Clash Royale,GAME,4.6,0,23134775,97M,"100,000,000+",Free,Everyone 10+,Strategy,27-Jun-18,2.3.2,4.1 and up
Granny,GAME,4.5,0,1137271,59M,"50,000,000+",Free,Teen,Arcade,29-May-18,1.4.0.1,4.0 and up
Angry Birds Rio,GAME,4.4,0,2610622,46M,"100,000,000+",Free,Everyone,Arcade,3-Jul-18,2.6.9,4.1 and up
Zombie Catchers,GAME,4.7,0,990586,75M,"10,000,000+",Free,Everyone,Action,24-May-18,1.0.27,4.1 and up
Zombie Hunter King,GAME,4.3,0,10354,50M,"1,000,000+",Free,Mature 17+,Action,1-Aug-18,1.0.8,2.3 and up
Temple Run 2,GAME,4.3,0,8118937,62M,"500,000,000+",Free,Everyone,Action,5-Jul-18,1.49.1,4.0 and up
Jungle Marble Blast,GAME,4.3,0,18985,23M,"5,000,000+",Free,Everyone,Casual,23-Jul-18,1.5.4,4.0.3 and up
Rider,GAME,4.5,0,655067,72M,"10,000,000+",Free,Teen,Arcade,17-Jul-17,1.2.1,4.0.3 and up
Farm Heroes Saga,GAME,4.4,0,7614271,70M,"100,000,000+",Free,Everyone,Casual,26-Jul-18,5.1.8,2.3 and up
Super Jim Jump - pixel 3d,GAME,4.5,0,10434,18M,"1,000,000+",Free,Everyone,Arcade,11-Jul-18,2.2.3181,4.0 and up
Roll the Ball® - slide puzzle,GAME,4.5,0,1385093,35M,"100,000,000+",Free,Everyone,Puzzle,2-Aug-18,1.7.40,4.1 and up
Talking Tom Gold Run,GAME,4.6,0,2698348,78M,"100,000,000+",Free,Everyone,Action,31-Jul-18,2.8.2.59,4.1 and up
Pixel Art: Color by Number Game,GAME,4.7,0,1125017,25M,"10,000,000+",Free,Everyone,Puzzle,17-Jul-18,3.9.2,4.3 and up
Dream League Soccer 2018,GAME,4.6,0,9882639,74M,"100,000,000+",Free,Everyone,Sports,16-Jul-18,5.064,4.4 and up
Angry Birds Classic,GAME,4.4,0,5566805,97M,"100,000,000+",Free,Everyone,Arcade,24-May-18,7.9.3,4.1 and up
Fruits Bomb,GAME,4.4,0,74673,17M,"10,000,000+",Free,Everyone,Casual,6-Jul-18,3.3.3179,4.0.3 and up
Traffic Racer,GAME,4.5,0,5387639,53M,"100,000,000+",Free,Everyone,Racing,27-Feb-18,2.5,4.1 and up
Flow Free,GAME,4.3,0,1295606,11M,"100,000,000+",Free,Everyone,Puzzle,11-Apr-18,4,4.1 and up
Knife Hit,GAME,4.5,0,461137,60M,"10,000,000+",Free,Everyone,Arcade,22-May-18,1.7.2,4.0.3 and up
Block Craft 3D: Building Simulator Games For Free,GAME,4.5,0,946926,57M,"50,000,000+",Free,Everyone,Simulation,5-Mar-18,2.10.2,4.0.3 and up
Farm Fruit Pop: Party Time,GAME,4.4,0,9305,14M,"1,000,000+",Free,Everyone,Casual,2-Aug-18,1.9.2,4.0.3 and up
ROBLOX,GAME,4.5,0,4448791,67M,"100,000,000+",Free,Everyone 10+,Adventure;Action & Adventure,31-Jul-18,2.347.225742,4.1 and up
Helix Jump,GAME,4.2,0,1498648,33M,"100,000,000+",Free,Everyone,Action,9-Apr-18,1.0.6,4.1 and up
Subway Surfers,GAME,4.5,0,27724094,76M,"1,000,000,000+",Free,Everyone 10+,Arcade,12-Jul-18,1.90.0,4.1 and up
Candy Crush Saga,GAME,4.4,0,22428456,74M,"500,000,000+",Free,Everyone,Casual,5-Jul-18,1.129.0.2,4.1 and up
Love Balls,GAME,4.2,0,360630,40M,"50,000,000+",Free,Everyone,Puzzle,31-Jul-18,1.2.7,4.1 and up
Granny,GAME,4.5,0,1137267,59M,"50,000,000+",Free,Teen,Arcade,29-May-18,1.4.0.1,4.0 and up
8 Ball Pool,GAME,4.5,0,14200344,52M,"100,000,000+",Free,Everyone,Sports,31-Jul-18,4.0.0,4.0.3 and up
Hungry Shark Evolution,GAME,4.5,0,6074334,100M,"100,000,000+",Free,Teen,Arcade,25-Jul-18,6.0.0,4.1 and up
Temple Run 2,GAME,4.3,0,8118937,62M,"500,000,000+",Free,Everyone,Action,5-Jul-18,1.49.1,4.0 and up
Pokémon GO,GAME,4.1,0,10424925,85M,"100,000,000+",Free,Everyone,Adventure,23-Jul-18,0.111.3,4.4 and up
Wordscapes,GAME,4.8,0,230727,87M,"10,000,000+",Free,Everyone,Word,2-Aug-18,1.0.47,4.1 and up
Paint Hit,GAME,4.4,0,37023,33M,"10,000,000+",Free,Everyone,Casual,6-Jul-18,5.2,5.0 and up
Snake VS Block,GAME,4.2,0,422244,32M,"50,000,000+",Free,Teen,Arcade,23-Apr-18,1.24,4.1 and up
Rolly Vortex,GAME,4.4,0,98123,40M,"10,000,000+",Free,Teen,Arcade,25-May-18,1.7.0,4.1 and up
Woody Puzzle,GAME,4.7,0,21262,29M,"1,000,000+",Free,Everyone,Puzzle,3-Aug-18,1.0.9,4.4 and up
Stack Jump,GAME,4.3,0,118253,40M,"10,000,000+",Free,Teen,Arcade,3-May-18,1.4.6,4.1 and up
Color by Number ??New Coloring Book,GAME,4.7,0,141529,24M,"5,000,000+",Free,Everyone 10+,Board,1-Aug-18,2.0.6,4.1 and up
The Cube,GAME,4.2,0,70226,38M,"5,000,000+",Free,Everyone,Arcade,25-Jul-18,1.2.9,4.1 and up
Extreme Car Driving Simulator,GAME,4.3,0,2251012,52M,"100,000,000+",Free,Everyone,Racing,3-May-18,4.17.2,4.0 and up
The Fish Master!,GAME,4.1,0,15763,54M,"1,000,000+",Free,Everyone,Arcade,17-Jul-18,1.6,4.1 and up
Color Road,GAME,4.1,0,84911,71M,"10,000,000+",Free,Everyone,Arcade,19-Jul-18,2.5.0,4.1 and up
Draw In,GAME,4.2,0,46416,73M,"10,000,000+",Free,Everyone,Arcade,23-Jul-18,1.0.8,4.1 and up
Block Craft 3D: Building Simulator Games For Free,GAME,4.5,0,946926,57M,"50,000,000+",Free,Everyone,Simulation,5-Mar-18,2.10.2,4.0.3 and up
PLANK!,GAME,4.7,0,7196,38M,"500,000+",Free,Everyone,Arcade,17-Jul-18,1.0.2,4.3 and up
Looper!,GAME,4.6,0,48256,62M,"1,000,000+",Free,Everyone,Puzzle,20-Jul-18,1.2.0,4.1 and up
Trivia Crack,GAME,4.5,0,6427773,95M,"100,000,000+",Free,Everyone,Trivia,3-Aug-18,2.79.0,4.1 and up
Will it Crush?,GAME,3.1,0,25825,16M,"5,000,000+",Free,Everyone,Simulation,22-May-18,1.3.3,4.4 and up
Tomb of the Mask,GAME,4.1,0,55380,39M,"5,000,000+",Free,Everyone,Action,24-Jul-18,1.2.1,5.0 and up
Baseball Boy!,GAME,3.4,0,148177,78M,"10,000,000+",Free,Everyone,Arcade,27-Jul-18,1.7.2,4.1 and up
PUBG MOBILE,GAME,4.4,0,3715656,36M,"50,000,000+",Free,Teen,Action,24-Jul-18,0.7.0,4.3 and up
Hello Stars,GAME,4.6,0,101686,31M,"10,000,000+",Free,Everyone,Puzzle,4-Aug-18,1.8.2,4.1 and up
Tank Stars,GAME,4.3,0,174755,98M,"10,000,000+",Free,Everyone 10+,Arcade,11-Jul-18,1.1.1,5.0 and up
Castle Clash: Heroes of the Empire US,GAME,4.6,0,4578476,24M,"50,000,000+",Free,Everyone 10+,Strategy,17-Jul-18,1.4.51,4.1 and up
Hole.io,GAME,4.2,0,145353,85M,"10,000,000+",Free,Teen,Arcade,24-Jul-18,1.3.1,4.1 and up
Helix Jump,GAME,4.2,0,1499373,33M,"100,000,000+",Free,Everyone,Action,9-Apr-18,1.0.6,4.1 and up
Mini Golf King - Multiplayer Game,GAME,4.5,0,531458,100M,"5,000,000+",Free,Everyone,Sports,20-Jul-18,3.04.1,4.0.3 and up
PUBG MOBILE,GAME,4.4,0,3714270,36M,"50,000,000+",Free,Teen,Action,24-Jul-18,0.7.0,4.3 and up
Flip the Gun - Simulator Game,GAME,4.2,0,195558,86M,"10,000,000+",Free,Everyone,Arcade,26-Jul-18,1.2,5.0 and up
Mad Skills BMX 2,GAME,4.5,0,29940,80M,"1,000,000+",Free,Everyone,Action,26-Jul-18,1.1.4,4.1 and up
Wordscapes,GAME,4.8,0,230727,87M,"10,000,000+",Free,Everyone,Word,2-Aug-18,1.0.47,4.1 and up
"MMX Hill Dash 2 ??Offroad Truck, Car & Bike Racing",GAME,4.4,0,41975,79M,"1,000,000+",Free,Everyone,Racing,19-Jul-18,3.00.11034,5.0 and up
Word Link,GAME,4.6,0,216675,30M,"10,000,000+",Free,Everyone,Word,1-Aug-18,2.2.7,4.1 and up
Last Day on Earth: Survival,GAME,4.5,0,2311785,87M,"10,000,000+",Free,Teen,Action,1-Aug-18,1.9.3,4.1 and up
MARVEL Strike Force,GAME,4.3,0,165888,91M,"5,000,000+",Free,Teen,Role Playing,31-Jul-18,1.4.0,4.4 and up
Partymasters - Fun Idle Game,GAME,4.6,0,541144,63M,"10,000,000+",Free,Teen,Arcade,12-Jul-18,1.2.5,5.0 and up
Grim Soul: Dark Fantasy Survival,GAME,4.5,0,189773,95M,"5,000,000+",Free,Teen,Role Playing,18-Jul-18,1.1.1,4.1 and up
DRAGON BALL LEGENDS,GAME,4.6,0,337752,48M,"5,000,000+",Free,Teen,Action,3-Aug-18,1.11.0,6.0 and up
New YAHTZEE® With Buddies Dice Game,GAME,4.1,0,42079,93M,"5,000,000+",Free,Everyone,Board,5-Jul-18,5.6.5,4.1 and up
Word Crossy - A crossword game,GAME,4.5,0,240416,53M,"5,000,000+",Free,Everyone,Word,1-Aug-18,2.2.3,4.0.3 and up
MLB TAP SPORTS BASEBALL 2018,GAME,4.6,0,32506,82M,"1,000,000+",Free,Everyone,Sports,27-Jun-18,1.2.1,4.2 and up
Hero Hunters,GAME,4.4,0,70747,99M,"5,000,000+",Free,Teen,Action,31-Jul-18,1.7,4.4 and up
Cooking Madness - A Chef's Restaurant Games,GAME,4.7,0,358817,49M,"10,000,000+",Free,Everyone,Arcade,30-Jul-18,1.2.2,4.1 and up
Ice Crush 2018 - A new Puzzle Matching Adventure,GAME,4.6,0,15403,25M,"1,000,000+",Free,Everyone,Casual,2-Aug-18,1.8.1,4.1 and up
Merge Dragons!,GAME,4.5,0,214777,91M,"5,000,000+",Free,Everyone,Puzzle,30-Jul-18,3.6.0,4.1 and up
SHADOWGUN LEGENDS,GAME,4.6,0,100609,52M,"1,000,000+",Free,Teen,Action,16-Jul-18,0.5.4,6.0 and up
RULES OF SURVIVAL,GAME,4.2,0,1343866,56M,"10,000,000+",Free,Teen,Action,1-Aug-18,1.180271.184729,4.0 and up
Mafia City,GAME,4.5,0,168717,56M,"10,000,000+",Free,Mature 17+,Strategy,3-Aug-18,1.3.205,2.3 and up
"Cash, Inc. Money Clicker Game & Business Adventure",GAME,4.8,0,549720,85M,"10,000,000+",Free,Everyone,Simulation,19-Jul-18,2.1.1.4.0,4.4 and up
Dino War: Rise of Beasts,GAME,4.1,0,18996,81M,"1,000,000+",Free,Teen,Strategy,1-Aug-18,1.5.2,4.1 and up
Tokyo Ghoul: Dark War,GAME,4.3,0,25094,82M,"1,000,000+",Free,Teen,Role Playing,6-Jul-18,1.2.0,4.3 and up
Last Shelter: Survival,GAME,4.4,0,93033,98M,"5,000,000+",Free,Teen,Strategy,4-Aug-18,1.250.078,4.0.3 and up
Guns of Glory,GAME,4,0,120592,77M,"10,000,000+",Free,Everyone 10+,Strategy,31-Jul-18,2.0.2,4.0.3 and up
Lineage 2: Revolution,GAME,4.2,0,187972,99M,"5,000,000+",Free,Teen,Role Playing,11-Jul-18,1.05.20,4.4 and up
Girls' Frontline,GAME,4.2,0,2055,96M,"100,000+",Free,Teen,Strategy,18-May-18,2.0081_206,4.0.3 and up
Chapters: Interactive Stories,GAME,4.5,0,73539,96M,"1,000,000+",Free,Mature 17+,Role Playing,2-Aug-18,1.3.3,4.3 and up
Honkai Impact 3rd,GAME,4.7,0,59017,82M,"1,000,000+",Free,Teen,Action,3-Jul-18,2.2.1,4.3 and up
Master of Eternity(MOE),GAME,4.2,0,5829,70M,"100,000+",Free,Teen,Strategy,26-Jul-18,1.8.2,4.4 and up
The Game of Life,GAME,4.4,2.99,18621,63M,"100,000+",Paid,Everyone,Board,4-Jul-18,2.1.2,4.4 and up
Clue,GAME,4.6,1.99,19922,35M,"100,000+",Paid,Everyone 10+,Board,30-Jul-18,2.2.5,5.0 and up
The Room: Old Sins,GAME,4.9,4.99,21119,48M,"100,000+",Paid,Everyone,Puzzle,18-Apr-18,1.0.1,4.4 and up
The Escapists,GAME,4.4,4.99,7412,84M,"100,000+",Paid,Teen,Strategy,26-Apr-18,1.1.0,2.3 and up
Farming Simulator 18,GAME,4.5,4.99,18125,15M,"100,000+",Paid,Everyone,Simulation;Education,9-Jul-18,Varies with device,4.4 and up
RollerCoaster Tycoon® Classic,GAME,4.6,5.99,10795,69M,"100,000+",Paid,Everyone,Simulation,21-Dec-17,1.2.1.1712080,4.0.3 and up
Call of Duty:Black Ops Zombies,GAME,4.2,6.99,13004,46M,"100,000+",Paid,Teen,Action,20-Dec-16,1.0.11,2.3.3 and up
Star Wars ?? DIRTY,GAME,4.5,9.99,38207,15M,"100,000+",Paid,Teen,Role Playing,19-Oct-15,1.0.6,4.1 and up
Monument Valley 2,GAME,4.6,4.99,9394,33M,"100,000+",Paid,Everyone,Puzzle,30-Nov-17,1.2.9,4.4 and up
DRAGON BALL LEGENDS,GAME,4.6,0,337913,48M,"5,000,000+",Free,Teen,Action,3-Aug-18,1.11.0,6.0 and up
ROBLOX,GAME,4.5,0,4449882,67M,"100,000,000+",Free,Everyone 10+,Adventure;Action & Adventure,31-Jul-18,2.347.225742,4.1 and up
Candy Crush Saga,GAME,4.4,0,22429716,74M,"500,000,000+",Free,Everyone,Casual,5-Jul-18,1.129.0.2,4.1 and up
Angry Birds 2,GAME,4.6,0,3883589,57M,"100,000,000+",Free,Everyone,Casual,26-Jul-18,2.21.1,4.1 and up
8 Ball Pool,GAME,4.5,0,14200550,52M,"100,000,000+",Free,Everyone,Sports,31-Jul-18,4.0.0,4.0.3 and up
Fallout Shelter,GAME,4.6,0,2719142,25M,"10,000,000+",Free,Teen,Simulation,11-Jun-18,1.13.12,4.1 and up
PUBG MOBILE,GAME,4.4,0,3716278,36M,"50,000,000+",Free,Teen,Action,24-Jul-18,0.7.0,4.3 and up
The Sims??FreePlay,GAME,4.3,0,931595,31M,"10,000,000+",Free,Teen,Simulation,16-Jul-18,5.39.1,4.0.3 and up
MARVEL Strike Force,GAME,4.3,0,165928,91M,"5,000,000+",Free,Teen,Role Playing,31-Jul-18,1.4.0,4.4 and up
MARVEL Contest of Champions,GAME,4.3,0,2468063,92M,"50,000,000+",Free,Teen,Action,30-Jul-18,19.1.0,4.0.3 and up
Jurassic World??Alive,GAME,4.3,0,309176,70M,"5,000,000+",Free,Everyone 10+,Simulation,2-Aug-18,1.3.15,4.4 and up
Choices: Stories You Play,GAME,4.6,0,807338,93M,"10,000,000+",Free,Teen,Simulation,30-Jul-18,2.3.5,4.0.3 and up
Solitaire TriPeaks,GAME,4.5,0,446434,52M,"10,000,000+",Free,Everyone,Card,1-Aug-18,4.6.2.46103,4.0.3 and up
Merge Dragons!,GAME,4.5,0,214819,91M,"5,000,000+",Free,Everyone,Puzzle,30-Jul-18,3.6.0,4.1 and up
The Walking Dead: Road to Survival,GAME,4.2,0,522466,37M,"10,000,000+",Free,Mature 17+,Role Playing,19-Jun-18,12.0.4.62276,4.0.3 and up
Hustle Castle: Fantasy Kingdom,GAME,4.7,0,584126,64M,"10,000,000+",Free,Everyone 10+,Role Playing,27-Jul-18,1.5.4,4.1 and up
Might & Magic: Elemental Guardians,GAME,4.3,0,32551,35M,"500,000+",Free,Mature 17+,Role Playing,12-Jul-18,1.93,4.4 and up
Love Nikki-Dress UP Queen,GAME,4.4,0,212524,93M,"5,000,000+",Free,Everyone,Role Playing,24-Jul-18,3.0.0,4.0.3 and up
Summoners War,GAME,4.3,0,2045554,28M,"50,000,000+",Free,Teen,Role Playing,30-Jul-18,4.0.1,4.0.3 and up
FINAL FANTASY BRAVE EXVIUS,GAME,4.6,0,745684,83M,"5,000,000+",Free,Teen,Role Playing,17-Jul-18,3.0.2,4.0.3 and up
Idle Heroes,GAME,4.7,0,416540,99M,"10,000,000+",Free,Everyone 10+,Role Playing,30-May-18,1.14.0,2.3 and up
Fate/Grand Order (English),GAME,4.4,0,16601,55M,"500,000+",Free,Teen,Role Playing,26-Jul-18,1.18.0,4.0 and up
Honkai Impact 3rd,GAME,4.7,0,59017,82M,"1,000,000+",Free,Teen,Action,3-Jul-18,2.2.1,4.3 and up
Lords Mobile: Battle of the Empires - Strategy RPG,GAME,4.4,0,3057481,14M,"50,000,000+",Free,Teen,Strategy,26-Jul-18,1.76,2.3 and up
War and Order,GAME,4.3,0,224514,81M,"5,000,000+",Free,Teen,Strategy,18-Jul-18,1.1.8,4.0.3 and up
Candy Crush Saga,GAME,4.4,0,22430188,74M,"500,000,000+",Free,Everyone,Casual,5-Jul-18,1.129.0.2,4.1 and up
ROBLOX,GAME,4.5,0,4449910,67M,"100,000,000+",Free,Everyone 10+,Adventure;Action & Adventure,31-Jul-18,2.347.225742,4.1 and up
8 Ball Pool,GAME,4.5,0,14201891,52M,"100,000,000+",Free,Everyone,Sports,31-Jul-18,4.0.0,4.0.3 and up
Subway Surfers,GAME,4.5,0,27725352,76M,"1,000,000,000+",Free,Everyone 10+,Arcade,12-Jul-18,1.90.0,4.1 and up
